Name,Image,VFX,VFXType,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Catalog,WindowType,WindowColor,PaneType,CurtainType,CurtainColor,CeilingType,HHAConcept1,HHAConcept2,HHASeries,Tag
beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,No,NA,No,1760,440,beige,brown,Nook's Cranny,,fs,four pane,natural wood,glass,curtains,red checkered,wood,fancy,living room,None,country
beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,No,NA,No,2440,610,beige,beige,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,stone,bathroom,facility,None,morocco
black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,No,NA,No,1240,310,black,black,Nook's Cranny,,fs,single pane,black metal,glass,slatted blinds,black plastic,stone,facility,expensive,None,wood tile walls
black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,No,NA,No,2000,500,black,black,Nook's Cranny,,fs,none,na,na,none,na,wood,facility,music,None,hall walls
black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,No,NA,No,1180,295,black,black,Nook's Cranny,,fs,none,na,na,none,na,tile,music,facility,None,pegboard walls
black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,No,NA,No,1850,462,black,black,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,stone,bathroom,facility,None,two-tone tile walls
black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,No,NA,No,1000,250,black,black,Nook's Cranny,,fs,four pane,dark wood,glass,none,na,wood,facility,shop,None,brick
black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,No,NA,No,2350,587,black,black,Nook's Cranny,,fs,none,na,na,none,na,tile,expensive,None,None,crown walls
blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,No,NA,No,3000,750,black,colorful,Saharah,,nfs,none,na,na,none,na,wood,shop,school,None,neta walls
blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,No,NA,No,1760,440,light blue,blue,Nook's Cranny,,fs,four pane,grey wood,glass,curtains,blue checkered,wood,fancy,living room,None,country
blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,No,NA,No,1150,287,blue,blue,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,cloth,party,child's room,None,camouflage
blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,No,NA,No,1900,475,blue,black,Nook's Cranny,,fs,four pane,dark wood,glass,roller shades,undyed,wood,expensive,living room,None,manor walls
blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,No,NA,No,2440,610,blue,white,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,stone,bathroom,facility,None,morocco
blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,No,NA,No,2420,605,blue,light blue,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,fancy,shop,None,diner walls
blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,No,NA,No,1780,445,blue,light blue,Nook's Cranny,,fs,four pane,dark wood,glass,curtains,light blue,wood,fancy,living room,None,flower walls
blue heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart00.png,No,NA,No,1280,320,blue,light blue,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,cloth,fancy,child's room,None,heart walls
blue honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb01.png,No,NA,No,1680,420,blue,blue,Nook's Cranny,,fs,sliding pane,black metal,glass,none,na,stone,bathroom,facility,None,honeycomb
blue intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop00.png,No,NA,No,1570,392,blue,white,Nook's Cranny,,fs,four pane,grey wood,glass,roller shades,white,wood,living room,shop,None,flower pop walls
blue molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold01.png,No,NA,No,1980,495,blue,brown,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,expensive,shop,None,panel mold walls
blue painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood00.png,No,NA,No,1650,412,blue,light blue,Nook's Cranny,,fs,four pane,white wood,glass,none,na,wood,fancy,living room,None,painted wood
blue playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy00.png,No,NA,No,2540,635,light blue,blue,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,child's room,fancy,None,toy walls
blue quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse01.png,No,NA,No,2150,537,blue,white,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,cloth,fancy,child's room,None,dollhouse walls
blue shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin02.png,No,NA,No,620,155,blue,blue,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,stone,garage,None,None,tin walls
blue simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple03.png,No,NA,No,750,187,blue,light blue,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white,wood,child's room,living room,None,simple walls
blue subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro00.png,No,NA,No,1340,335,blue,light blue,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,stone,facility,shop,None,metro walls
blue tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile03.png,No,NA,No,1420,355,blue,blue,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,bathroom,facility,None,tile walls
blue two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile05.png,No,NA,No,1850,462,blue,blue,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,stone,bathroom,facility,None,two-tone tile walls
blue-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown00.png,No,NA,No,2350,587,blue,black,Nook's Cranny,,fs,none,na,na,none,na,tile,expensive,None,None,crown walls
blue-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco03.png,No,NA,No,1600,400,blue,blue,Nook's Cranny,,fs,four pane,dark wood,glass,none,na,stone,fancy,living room,None,stucco walls
blue-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose03.png,No,NA,No,1720,430,blue,light blue,Nook's Cranny,,fs,arch,grey metal,glass,none,na,wood,fancy,living room,None,rose walls
blue-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe03.png,No,NA,No,1520,380,blue,white,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,cloth,fancy,child's room,None,stripe walls
botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile02.png,No,NA,No,1240,310,beige,yellow,Nook's Cranny,,fs,single pane,natural wood,glass,slatted blinds,natural wood,stone,facility,expensive,None,wood tile walls
brown botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile01.png,No,NA,No,1240,310,brown,brown,Nook's Cranny,,fs,single pane,dark wood,glass,slatted blinds,dark brown wood,stone,facility,expensive,None,wood tile walls
brown diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner03.png,No,NA,No,2420,605,brown,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,fancy,shop,None,diner walls
brown hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall00.png,No,NA,No,2000,500,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,wood,facility,music,None,hall walls
brown herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone00.png,No,NA,Yes,-1,1800,brown,brown,Crafting,,nfs,single pane,natural wood,glass,slatted blinds,brown wood,wood,living room,shop,None,herringbone
brown shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin03.png,No,NA,No,620,155,brown,brown,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,stone,garage,None,None,tin walls
brown wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch01.png,,,No,3000,750,none,none,Wedding Season,,nfs,,,,,,,party,expensive,wedding,cloth walls
brown-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick03.png,No,NA,No,1000,250,brown,brown,Nook's Cranny,,fs,four pane,natural wood,glass,none,na,wood,facility,shop,None,brick
brown-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown03.png,No,NA,No,2350,587,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,tile,expensive,None,None,crown walls
bunny day wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEaster00.png,No,NA,Yes,-1,4800,yellow,colorful,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",nfs,,,,,,wood,fancy,child's room,Bunny Day,cloth walls
butterflies wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallInsect00.png,No,NA,No,-1,840,white,colorful,Bug-Off,,nfs,four pane,white wood,glass,roller shades,white,wood,fancy,facility,None,nature walls
cabin wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLog00.png,No,NA,Yes,-1,1800,beige,beige,Crafting,,nfs,four pane,natural wood,glass,curtains,white lace,wood,living room,facility,None,wood walls
café-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCafe00.png,Yes,NA,No,3000,750,black,white,Saharah,,nfs,none,na,na,none,na,cloth,shop,expensive,None,special walls
camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage00.png,No,NA,No,1150,287,black,green,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,plain,party,child's room,None,camouflage
chain-link fence,https://acnhcdn.com/latest/FtrIcon/RoomSpWallEmptyLot00.png,Yes,NA,No,3000,750,gray,gray,Saharah,,nfs,none,na,na,none,na,cloth,garden,garage,None,special cool nature walls
cherry wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCherry00.png,No,Random,Yes,-1,4000,pink,red,Crafting,,nfs,four pane,grey wood,glass,roller shades,white,stone,child's room,fancy,fruits,fruit walls
cherry-blossom-trees wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSakura00.png,Yes,NA,Yes,-1,4600,brown,pink,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),nfs,none,na,na,none,na,wood,garden,None,cherry blossoms,special warm nature walls
chic tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud03.png,No,NA,No,1750,437,black,black,Nook's Cranny,,fs,circle,dark wood,screen,none,na,wood,zen-style,shop,None,tea room walls
chic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallClassic00.png,No,NA,No,1960,490,yellow,beige,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,wood,expensive,living room,None,cloth walls
chocolate hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall01.png,No,NA,No,2000,500,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,wood,facility,music,None,hall walls
chocolate herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone01.png,No,NA,Yes,-1,1800,brown,brown,Crafting,,nfs,single pane,dark wood,glass,slatted blinds,dark brown wood,stone,living room,shop,None,herringbone
circuit-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGeek00.png,No,NA,No,3000,750,green,green,Saharah,,nfs,none,na,na,none,na,cloth,facility,None,None,neta walls
cityscape wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallNightView00.png,Yes,NA,No,3000,750,black,black,Saharah,,nfs,none,na,na,none,na,wood,shop,expensive,None,special walls
classic-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary00.png,No,NA,Yes,-1,1450,black,black,Crafting,,nfs,none,na,na,none,na,cloth,den,None,None,library walls
colorful puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle01.png,No,NA,No,1540,385,colorful,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,fancy,child's room,None,puzzle walls
colorful-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile02.png,No,NA,No,1420,355,colorful,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,wood,bathroom,facility,None,tile walls
common wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCommon00.png,No,NA,No,800,200,beige,brown,Nook's Cranny,,fs,four pane,natural wood,glass,curtains,white,stone,living room,school,None,stone walls
concrete wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallConcrete00.png,No,NA,No,940,235,gray,gray,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,stone,garage,facility,None,stone walls
construction-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlueSheet00.png,No,NA,No,3000,750,blue,blue,Saharah,,nfs,none,na,na,none,na,wood,garage,facility,None,neta walls
crepe-design wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrepe00.png,No,NA,No,1550,387,white,colorful,Nook's Cranny,,fs,circle,grey wood,screen,none,na,cloth,zen-style,None,None,japanese style
cute blue wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute02.png,No,NA,No,1880,470,blue,white,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,cloth,fancy,child's room,None,cute walls
cute red wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute01.png,No,NA,No,1880,470,red,white,Nook's Cranny,,fs,four pane,grey wood,glass,curtains,white lace,cloth,fancy,child's room,None,cute walls
cute white wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute00.png,No,NA,No,1880,470,white,white,Nook's Cranny,,fs,four pane,grey wood,glass,curtains,white lace,cloth,fancy,child's room,None,cute walls
cute yellow wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute03.png,No,NA,No,1880,470,yellow,white,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,stone,fancy,child's room,None,cute walls
dark wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood01.png,No,NA,Yes,-1,1800,black,black,Crafting,,nfs,single pane,dark wood,glass,slatted blinds,dark brown wood,tile,living room,shop,None,wood plank walls
dark-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate00.png,No,Synchro,No,3000,750,brown,brown,Saharah,,nfs,none,na,na,none,na,plain,fancy,None,None,chocolate
desert vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallDesert00.png,Yes,NA,No,3000,750,beige,gray,Saharah,,nfs,none,na,na,none,na,stone,folk art,None,None,special cool nature walls
dig-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStratum00.png,No,NA,No,3000,750,brown,beige,Saharah,,nfs,none,na,na,none,na,wood,garden,horror,None,stone walls
dirt-clod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOldSoil00.png,No,NA,No,200,50,beige,brown,Nook's Cranny,,fs,four pane,natural wood,screen,none,na,wood,horror,None,None,stone walls
dojo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBaseboards00.png,No,NA,No,3000,750,yellow,beige,Saharah,,nfs,none,na,na,none,na,stone,fitness,zen-style,None,wood walls
dungeon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallJail00.png,Yes,NA,No,3000,750,black,gray,Saharah,,nfs,none,na,na,none,na,wood,horror,None,None,special inorganic walls
exquisite wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChina00.png,No,NA,No,3000,750,brown,white,Saharah,,nfs,none,na,na,none,na,stone,zen-style,shop,None,asia
forest wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMushForest00.png,No,Synchro,Yes,-1,44000,black,black,Crafting,Mushroom seasonal DIY,nfs,none,na,na,none,na,stone,garden,None,mush,nature walls
future-tech wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTechnology00.png,Yes,NA,No,3000,750,black,black,Saharah,,nfs,none,na,na,none,na,plain,horror,folk art,None,special inorganic walls
garbage-heap wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGarbage00.png,No,NA,Yes,-1,120,light blue,gray,Crafting,,nfs,none,na,na,none,na,wood,garage,horror,None,neta walls
gold-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusumaGorgeous00.png,No,NA,Yes,-1,20750,yellow,yellow,Crafting,,nfs,none,na,na,none,na,gold,zen-style,expensive,None,japanese style
golden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGold00.png,No,NA,Yes,-1,40000,yellow,brown,Crafting,,nfs,none,na,na,none,na,stone,expensive,horror,golden,asia
gray diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner02.png,No,NA,No,2420,605,white,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,cloth,fancy,shop,None,diner walls
gray molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold02.png,No,NA,No,1980,495,gray,gray,Nook's Cranny,,fs,sliding pane,black metal,glass,none,na,stone,expensive,shop,None,panel mold walls
gray shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin00.png,No,NA,No,620,155,gray,gray,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,cloth,garage,None,None,tin walls
gray-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe02.png,No,NA,No,1520,380,gray,white,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,wood,fancy,child's room,None,stripe walls
green blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry03.png,No,NA,No,1760,440,green,brown,Nook's Cranny,,fs,four pane,light wood,glass,curtains,green checkered,wood,fancy,living room,None,country
green delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor02.png,No,NA,No,1900,475,green,black,Nook's Cranny,,fs,four pane,dark wood,glass,roller shades,undyed,wood,expensive,living room,None,manor walls
green flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower01.png,No,NA,No,1780,445,green,beige,Nook's Cranny,,fs,four pane,white wood,glass,curtains,green,stone,fancy,living room,None,flower walls
green honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb02.png,No,NA,No,1680,420,green,green,Nook's Cranny,,fs,sliding pane,grey metal,glass,none,na,wood,bathroom,facility,None,honeycomb
green intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop02.png,No,NA,No,1570,392,green,white,Nook's Cranny,,fs,four pane,grey wood,glass,roller shades,white,cloth,living room,shop,None,flower pop walls
green molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold03.png,No,NA,No,1980,495,green,white,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,wood,fancy,child's room,None,panel mold walls
green painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood01.png,No,NA,No,1650,412,green,green,Nook's Cranny,,fs,four pane,white wood,glass,none,na,cloth,fancy,child's room,None,painted wood
green playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy02.png,No,NA,No,2540,635,green,green,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,stone,child's room,fancy,None,toy walls
green wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch02.png,,,No,3000,750,none,none,Wedding Season,,nfs,,,,,,,party,expensive,wedding,cloth walls
green-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco04.png,No,NA,No,1600,400,green,green,Nook's Cranny,,fs,four pane,dark wood,glass,none,na,cloth,fancy,living room,None,stucco walls
groovy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPsyche00.png,No,NA,No,1280,320,orange,orange,Nook's Cranny,,fs,single pane,natural wood,glass,slatted blinds,brown wood,stone,party,None,None,cloth walls
harmonious wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOriental00.png,No,NA,No,1780,445,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,wood,zen-style,shop,None,asia
heavy-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallThickCurtain00.png,No,NA,No,3000,750,red,black,Saharah,,nfs,none,na,na,none,na,stone,music,party,None,cloth walls
honeycomb wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoney00.png,No,NA,Yes,-1,3600,yellow,yellow,Crafting,,nfs,none,na,na,none,na,stone,fancy,facility,None,tile walls
honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb00.png,No,NA,No,1680,420,brown,brown,Nook's Cranny,,fs,sliding pane,black metal,glass,none,na,stone,bathroom,facility,None,honeycomb
ice wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallIce00.png,Yes,NA,Yes,-1,8200,light blue,light blue,Snowman,Reward for making a perfect snow-person,nfs,none,na,na,none,na,plain,freezing cold,facility,frozen,special walls
iceberg wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIceFloe00.png,No,NA,Yes,-1,4000,light blue,white,Crafting,Winter seasonal DIY using snowflakes (caught with net),nfs,none,na,na,none,na,stone,freezing cold,None,None,neta walls
imperial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDynasty00.png,No,NA,No,3000,750,red,red,Saharah,,nfs,none,na,na,none,na,stone,expensive,None,None,asia
industrial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFactory00.png,No,NA,No,3000,750,black,black,Saharah,,nfs,none,na,na,none,na,stone,facility,None,None,iron walls
ivy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIvy00.png,No,Synchro,No,3000,750,brown,green,Saharah,,nfs,none,na,na,none,na,wood,facility,shop,None,nature walls
jingle wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallXmas00.png,Yes,NA,Yes,-1,2500,green,colorful,Crafting,Festive seasonal DIY using ornaments (from shaking trees),nfs,none,na,na,none,na,stone,fancy,party,festive,special walls
jungle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJungle00.png,No,NA,Yes,-1,1380,green,green,Crafting,,nfs,none,na,na,none,na,cloth,garden,facility,None,nature walls
kisses wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKiss00.png,No,Random,No,3000,750,pink,white,Saharah,,nfs,single pane,white metal,glass,slatted blinds,white plastic,tile,party,fancy,None,cloth walls
laboratory wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallLabo00.png,Yes,NA,No,3000,750,black,black,Saharah,,nfs,none,na,na,none,na,wood,facility,None,None,special inorganic walls
lattice wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLattice00.png,No,Synchro,No,1780,445,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,stone,zen-style,shop,None,asia
magma-cavern wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallVolcano00.png,Yes,NA,No,3000,750,orange,orange,Saharah,,nfs,none,na,na,none,na,cloth,horror,None,None,special warm nature walls
manga-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary01.png,No,NA,Yes,-1,1050,white,white,Crafting,,nfs,none,na,na,none,na,plain,facility,den,None,library walls
mangrove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMangrove00.png,No,NA,No,3000,750,green,green,Saharah,,nfs,none,na,na,none,na,wood,garden,None,None,nature walls
marine pop wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFish00.png,No,Synchro,No,-1,805,light blue,blue,Fishing Tourney,,nfs,four pane,grey wood,glass,roller shades,white,plain,ocean,child's room,None,cloth walls
meadow vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHighLands00.png,Yes,Random,No,3000,750,green,light blue,Saharah,,nfs,none,na,na,none,na,stone,garden,None,None,special cool nature walls
misty-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallRain00.png,Yes,NA,No,3000,585,gray,gray,Saharah,,nfs,none,na,na,none,na,cloth,garden,None,None,special cool nature walls
